nettrans anom Nordics_N,stor level anom Nordics_N,stor discharge anom Nordics_N,nettrans anom Baltics,stor level anom Baltics,stor discharge anom Baltics,nettrans anom Nordics_S,stor level anom Nordics_S,stor discharge anom Nordics_S,nettrans anom British_Isles,stor level anom British_Isles,stor discharge anom British_Isles,nettrans anom NW_Continent,stor level anom NW_Continent,stor discharge anom NW_Continent,nettrans anom Med_East_N,stor level anom Med_East_N,stor discharge anom Med_East_N,nettrans anom Med_East_S,stor level anom Med_East_S,stor discharge anom Med_East_S,nettrans anom Greece,stor level anom Greece,stor discharge anom Greece,nettrans anom Italy,stor level anom Italy,stor discharge anom Italy,nettrans anom Iberia,stor level anom Iberia,stor discharge anom Iberia,nettrans anom Central_W,stor level anom Central_W,stor discharge anom Central_W,nettrans anom East_N,stor level anom East_N,stor discharge anom East_N,nettrans anom Central_E,stor level anom Central_E,stor discharge anom Central_E,sc,t_start,t_end
-4.4450000620009416,-4930.5555107023665,7.119332200829412,1.0739499676430713,-319.29408204992654,0.5068726248260732,4.062427222715649,-3326.1169823801656,6.6171776983256745,0.5311193800183256,-994.2032778423827,0.17019416722785996,8.525842420394492,-4154.872663763853,4.695791609723887,-0.8367918532953598,-1243.7256916328147,1.7905645165100417,-1.0489643923262881,-47.33762283438435,-0.1800014509103125,0.12442202805287472,-185.91501067997754,-0.029180753294512973,-3.8502360958811073,-2768.3713164288247,2.295129993262103,-3.3373750842142766,-3535.8123791374146,8.025496842295091,4.600982877840038,-8145.596405467742,12.390876908032745,0.1213154107310559,-2341.35385301339,2.895343035897948,-5.392879388692457,-2130.8350048818893,2.828053629926341,3,88,416
-1.0337381854644367,-6165.25176069822,9.606395614765582,1.5728162372728314,-238.77160856730862,0.18893653385095688,0.7508259482957006,-3206.9582586109955,4.167607396190023,5.328749445985175,-1778.3352366659174,0.9729097465036762,6.873461069421312,-3942.3591424103583,2.1339059750413405,-0.6324142618603891,396.4645520610792,0.30365079608139833,-0.4126210045997581,-18.189392261594094,-0.45861314278632925,-0.6086625797416231,148.8183814740525,-0.27926821079763187,-7.3436149580686365,-73.24149549022559,-0.3441576628162384,-3.6411127324678607,1274.1288617293303,0.7312166153508954,4.43516216662127,-5166.672259255849,9.956621430946544,0.5118300084896443,-747.2401113728208,0.38021246869774306,-5.57958835806758,-1300.1733271562491,2.2522165488078425,44,41,391
0.4796793788193967,-2058.771403836474,9.527571836192692,0.027826839347916743,-131.5730604573076,0.30309527461026675,3.655089811300006,-1405.6536002161,6.1415466955434805,1.1088915619597328,-1627.0990751843935,4.406316188079128,2.311441928207844,-2012.350741495981,6.490806247787685,-0.48570518221200204,-937.8887630682403,3.963188922623358,0.007161714523668511,-35.40037653224772,-0.12218042346099578,-0.2712870346402201,65.38576457330322,-0.4799090511292028,-3.4177389272749217,-1474.7157550062975,3.426675829823486,-4.311452030272654,-939.8802811818309,4.17329083351491,7.913039598862946,-3852.7862610901557,18.027000509316288,-1.1525695840330588,-1567.778103480708,5.7372097335858445,-5.550921750721251,-1319.095507118301,6.531230423606743,45,8047,8193
-1.3062538859860964,-2959.808978230426,10.519459488478617,1.397467789381121,-167.54784585449735,0.2833367509172088,2.167554188495396,-1563.0775746094632,4.477142957352438,-0.964664072835884,-112.18861172228434,-1.1995797878691952,11.47615988914153,-1621.4663558592536,2.349109619526118,-0.6007363600339058,-602.7425460615009,2.520617066775211,0.20241095563624772,-123.76639057079828,0.3268355767835007,-0.6152618019575193,81.80364416023266,-0.20609065936139648,-6.086529561166873,-956.4484585565118,7.087076211055029,-4.218432607932357,837.2021709621368,0.24886882529945176,2.99507977415581,-2474.1636324585943,10.259327954883574,1.8708206214624474,-1782.1383175333663,5.202380776577894,-6.195578530285653,-1078.934967876548,4.297560785486134,13,8104,8288
-4.747529702019991,-3190.610483036495,9.561972664637043,1.5031446762414387,-195.01957210968155,0.22220492225519156,4.6841679101597276,-1928.948539358341,5.144650110905804,-1.7129215286056052,-618.0853829241901,1.515869318106383,8.676304098693441,-1980.33490959329,0.16655026183869825,-1.4464330551856794,-993.3729046873495,2.57351973160985,0.1441562321715566,-42.520780211402865,-0.5527196141151007,-0.06786323625988588,-41.5864536599407,0.3907972415325067,-2.88183359463156,-547.9238286853945,-0.1759452228934304,-3.370136391468714,1693.330244283055,-5.149326925068053,-0.2030247092723565,-3175.2965639339395,7.892699432470472,1.6742096356479363,-1173.4666958843627,2.23822966185496,-2.200146263413428,-1416.2024770132448,3.4919157216116004,24,544,799
-9.509340007132012,-1022.5237526113734,6.414972489164718,0.6886584819469944,-303.4637556341389,1.4633052600431242,10.658399900795441,-1215.3806127870635,6.163524975845233,2.272976749698694,-796.310401277526,2.506075533325371,1.6627687716400175,-2433.882852976569,10.34816502871057,0.3255966948456325,-822.2383509815083,4.504823752309113,0.0923727075969778,-252.25868264167144,1.1465064988661204,-0.44776918030994783,-20.199691746973897,0.07068482841470014,-4.254547130839848,-1171.7106199688874,2.75575186454361,-3.257461370184151,-2033.5594836297864,15.936143384145266,6.074706462993623,-2741.701366807694,18.590323408490423,1.2991621533271713,-2290.835877514922,11.14075319364181,-5.30701188994043,-1135.0300834627162,7.309246789549006,11,8382,8503
-8.999025436201123,-1438.5045496482783,5.835181398881289,0.09459395222400802,-104.31279924783273,0.3274098505916512,7.996589954580891,-1194.3729925049124,3.8411076633834895,4.677885537884697,-1068.2961406083523,1.09091329783086,10.437065166064347,-1690.3165080576523,6.3862349462005445,-0.9998478651291614,-581.876237989274,3.4207803652701276,-0.8015379604190545,-11.66873642846398,0.9030388601942603,0.31912934315123787,-143.23157481648946,0.2134320654761177,-1.0982061466681623,-3071.936377730208,8.478010691829965,-4.153691120545524,-832.2435233838653,-0.804654547693815,-1.5111426660354117,-6179.026749897931,13.931240204209846,3.2435132918080747,-793.2168671245702,2.300509376746028,-9.104915749450893,-1647.6258624076177,8.215839129251952,49,90,320
-4.566620736073334,-120.76393704441534,6.03708429863374,0.6011401870676114,-133.5497284098997,0.2720951934885415,-1.9305323147976206,-984.900517071778,3.9941867287203294,0.6653442968104422,-681.2906450203037,-0.1256579425783504,6.7360893792565015,-1286.3237755640425,2.290353676077963,-0.48667546234510173,-799.3868866779908,3.0117665473207618,-0.13489677550228096,-85.05369023656486,0.2006636494420635,-0.06801432013983144,-201.31251664796025,0.157531617854469,-3.011260124006317,-2670.2270541073276,4.560148764206241,-3.7802936732897328,-4099.574428060029,12.717932215612809,8.708475629536022,-5981.839344737291,12.724717702942595,-0.30820094868597314,-1079.0612585831846,1.8954611020796306,-2.435013815098699,-1984.1480940423578,5.5964238408882405,35,0,247
-6.996747566308446,-653.7118745322066,4.370588766435386,-0.6855681664516152,-119.98904844320879,0.4233636385653147,5.217836491575589,-1001.3968087233345,4.504851461160198,-1.3345003622320242,-1131.719279558833,4.185221617375202,5.753581776796488,-1920.3367776843718,6.930219879180471,-0.9217894608962425,-668.9450748780187,2.4152287847596456,-0.21489866545445874,-49.61367171958361,-0.20149189565071746,0.3135052022056207,-112.04689992433343,0.31268701551506295,-6.87266544409386,-882.7711965983384,2.1196390707185646,-4.703235392041429,-1980.592740506553,6.957914148679182,15.134373506059939,-3582.6235036672415,15.206039466554188,1.2250799964204053,-1475.6397436639,5.813933308929656,-5.735356544379084,-1160.1672827475152,5.177257639939069,41,328,488
-8.785501544487035,-2193.792406055966,4.092339437192628,-0.10303267485307332,-148.4197454963924,0.286377380745817,5.2008214953472915,-1181.577591422078,4.842987901229423,4.728653849480014,-2429.49409953933,3.9025015881871634,7.069332281760783,-1860.3536303190058,6.44352919213388,-1.1322960413992875,-277.43397099041863,1.577545699172016,0.7496278800116092,-71.6583111919811,-0.22573329823001276,-0.3390930013092295,-155.2939472275517,0.1745128092307302,-1.4976884651745772,-2519.753647599543,5.771753286267273,-4.19660604311185,-3236.8129500794394,6.720803214186585,0.25910596993587465,-5280.816236334964,14.633599844267362,1.537192895931685,-974.0823788602705,1.6042796211131036,-3.41319301695434,-1407.5415714995206,4.857566867786302,9,149,401
-5.719319241798778,-2254.0079960378707,9.165801973219654,1.3084547698817866,-127.42320884569968,0.22973840379305094,3.6071400219441534,-1390.8141650926227,5.774155087190355,-0.1736267835129377,-642.3002725709663,1.411454788806358,6.395764791280944,-1853.9161318612225,3.015680002728046,-1.29605007704257,-773.9333901656938,3.40351736212172,0.7912633896155385,-76.67782996621064,0.09432020503166894,0.33815646235944424,-142.03812703446866,0.4677477445575844,0.8184269272393212,-1528.4407070097404,5.556050790999107,-4.329447516144773,-1980.1658219336182,6.2243923490974495,-1.7785568148248885,-3627.864096901675,14.694976272991406,2.0329044659881386,-1432.7028659292087,4.365129520494975,-1.9318393298349585,-1289.399258077108,3.545133684578251,25,847,991
-2.10649452843556,-2771.1867617220296,11.408631368930351,0.08394945395764386,-143.29352977904549,0.32984781485844655,0.858921285052597,-1767.6038272379628,6.943956076079289,0.7764994585803997,-2547.915027916401,5.846124445825249,5.834290602803053,-1829.6712647741608,3.4168465836523154,-1.5917255325866375,-232.26831355946956,-0.4820099013832646,-0.1812308213034225,-55.99437163289205,0.13738360005609906,-0.7830163035927721,110.23697772606289,-0.41502533658201235,-1.0952388932283856,-2424.464779800197,7.6123352213710245,-4.487168243884853,-1933.3209361161878,3.761940148310826,6.952995716005769,-6229.016721861599,19.36680585920528,1.58518324530794,-805.5466520940831,1.2718247005066377,-5.544150113126131,-1579.4949664689766,4.909500306901758,42,870,1063
-6.922913124336338,-2121.5571031840263,5.332722815505459,1.1953485733857856,-211.11803421190942,0.2619402440775246,3.8289551220626716,-1917.5999786131142,4.301821522104273,-1.7239251587146258,-1141.131950140025,1.7957421155513438,14.410129540908127,-2197.1883485988255,2.3581456791323605,-0.717078176420846,-452.2833114223515,0.6559259733496994,-0.7730667859927831,-32.44982403232523,-0.039225531011363834,-0.7894508668052082,27.740328514941154,-0.2301976185297192,-6.374925189514187,-3016.081486140588,4.890274383824169,-4.233653176240532,-2194.6846253480435,6.588361246388198,6.420572652979118,-6061.945954839127,13.479296165285831,2.3454173538016394,-839.7019750959016,1.087591848809419,-6.498003735977802,-1832.7645918823891,4.25713358934347,37,328,607
-1.2525643504246322,-733.7511595784149,7.168776153669381,1.001896573466227,-140.66621395705354,0.487289226963621,7.236720860734987,-931.9015009927177,4.427783245167401,-1.3043181093348437,-84.81136579349396,0.21736079058320046,0.34209684093643444,-665.872627965667,3.6801872364275603,-0.5280690693821174,33.89071482939028,-0.9630274311799445,-0.016942628503607282,-15.378520261782917,0.1973729850304251,-0.4115551684357768,49.262821728302285,-0.3169623786968696,0.45775025204743436,-744.1230988875071,5.612839875167911,0.21109805973895257,-405.934914514003,0.4170120595765283,-3.4333513459312996,-1151.9712201420525,10.240316202312943,-0.515100094608552,-579.801403871263,2.420573941882111,-1.7662045216411366,-421.00974888331206,2.753695665753061,47,303,415
